"","date","name","new_people_given_second_dose","cumulative_second_dose"
"1","2021-06-13","United Kingdom",181121,29973779
"2","2021-06-12","United Kingdom",320326,29792658
"3","2021-06-11","United Kingdom",307192,29472332
"4","2021-06-10","United Kingdom",308038,29165140
"5","2021-06-09","United Kingdom",316258,28857102
"6","2021-06-08","United Kingdom",313482,28540844
"7","2021-06-07","United Kingdom",306068,28227362
"8","2021-06-06","United Kingdom",259941,27921294
"9","2021-06-05","United Kingdom",473378,27661353
"10","2021-06-04","United Kingdom",388031,27187975
"11","2021-06-03","United Kingdom",377641,26799944
"12","2021-06-02","United Kingdom",349019,26422303
"13","2021-06-01","United Kingdom",338565,26073284
"14","2021-05-31","United Kingdom",195546,25734719
"15","2021-05-30","United Kingdom",206322,25539173
"16","2021-05-29","United Kingdom",418848,25332851
"17","2021-05-28","United Kingdom",435951,24914003
"18","2021-05-27","United Kingdom",434096,24478052
"19","2021-05-26","United Kingdom",427458,24043956
"20","2021-05-25","United Kingdom",387987,23616498
"21","2021-05-24","United Kingdom",332955,23228511
"22","2021-05-23","United Kingdom",252139,22895556
"23","2021-05-22","United Kingdom",556951,22643417
"24","2021-05-21","United Kingdom",426683,22086466
"25","2021-05-20","United Kingdom",420312,21659783
"26","2021-05-19","United Kingdom",369018,21239471
"27","2021-05-18","United Kingdom",324001,20870453
"28","2021-05-17","United Kingdom",259049,20546452
"29","2021-05-16","United Kingdom",183745,20287403
"30","2021-05-15","United Kingdom",391246,20103658
"31","2021-05-14","United Kingdom",393402,19712412
"32","2021-05-13","United Kingdom",428041,19319010
"33","2021-05-12","United Kingdom",452437,18890969
"34","2021-05-11","United Kingdom",350147,18438532
"35","2021-05-10","United Kingdom",231835,18088385
"36","2021-05-09","United Kingdom",187171,17856550
"37","2021-05-08","United Kingdom",438837,17669379
"38","2021-05-07","United Kingdom",465822,17230542
"39","2021-05-06","United Kingdom",473001,16764720
"40","2021-05-05","United Kingdom",404226,16291719
"41","2021-05-04","United Kingdom",257486,15887493
"42","2021-05-03","United Kingdom",127499,15630007
"43","2021-05-02","United Kingdom",172891,15502508
"44","2021-05-01","United Kingdom",372304,15329617
"45","2021-04-30","United Kingdom",421785,14957313
"46","2021-04-29","United Kingdom",491567,14535528
"47","2021-04-28","United Kingdom",462885,14043961
"48","2021-04-27","United Kingdom",379265,13581076
"49","2021-04-26","United Kingdom",304688,13201811
"50","2021-04-25","United Kingdom",260801,12897123
"51","2021-04-24","United Kingdom",547636,12636322
"52","2021-04-23","United Kingdom",465015,12088686
"53","2021-04-22","United Kingdom",431070,11623671
"54","2021-04-21","United Kingdom",416784,11192601
"55","2021-04-20","United Kingdom",350027,10775817
"56","2021-04-19","United Kingdom",273751,10425790
"57","2021-04-18","United Kingdom",221193,10152039
"58","2021-04-17","United Kingdom",499635,9930846
"59","2021-04-16","United Kingdom",499664,9431211
"60","2021-04-15","United Kingdom",417683,8931547
"61","2021-04-14","United Kingdom",343783,8513864
"62","2021-04-13","United Kingdom",312685,8170081
"63","2021-04-12","United Kingdom",201191,7857396
"64","2021-04-11","United Kingdom",189665,7656205
"65","2021-04-10","United Kingdom",475230,7466540
"66","2021-04-09","United Kingdom",450136,6991310
"67","2021-04-08","United Kingdom",449269,6541174
"68","2021-04-07","United Kingdom",408396,6091905
"69","2021-04-06","United Kingdom",186793,5683509
"70","2021-04-05","United Kingdom",64590,5496716
"71","2021-04-04","United Kingdom",47708,5432126
"72","2021-04-03","United Kingdom",178913,5384418
"73","2021-04-02","United Kingdom",246631,5205505
"74","2021-04-01","United Kingdom",445416,4958874
"75","2021-03-31","United Kingdom",387574,4513458
"76","2021-03-30","United Kingdom",277682,4125884
"77","2021-03-29","United Kingdom",168230,3848202
"78","2021-03-28","United Kingdom",147594,3679972
"79","2021-03-27","United Kingdom",238861,3532378
"80","2021-03-26","United Kingdom",283654,3293517
"81","2021-03-25","United Kingdom",234382,3009863
"82","2021-03-24","United Kingdom",242642,2775481
"83","2021-03-23","United Kingdom",169155,2532839
"84","2021-03-22","United Kingdom",82300,2363684
"85","2021-03-21","United Kingdom",52612,2281384
"86","2021-03-20","United Kingdom",91977,2228772
"87","2021-03-19","United Kingdom",125725,2136795
"88","2021-03-18","United Kingdom",132016,2011070
"89","2021-03-17","United Kingdom",119609,1879054
"90","2021-03-16","United Kingdom",95799,1759445
"91","2021-03-15","United Kingdom",53366,1663646
"92","2021-03-14","United Kingdom",25371,1610280
"93","2021-03-13","United Kingdom",52155,1584909
"94","2021-03-12","United Kingdom",87676,1532754
"95","2021-03-11","United Kingdom",93563,1445078
"96","2021-03-10","United Kingdom",97162,1351515
"97","2021-03-09","United Kingdom",72922,1254353
"98","2021-03-08","United Kingdom",38788,1181431
"99","2021-03-07","United Kingdom",20241,1142643
"100","2021-03-06","United Kingdom",31562,1122402
"101","2021-03-05","United Kingdom",56772,1090840
"102","2021-03-04","United Kingdom",70206,1034068
"103","2021-03-03","United Kingdom",68450,963862
"104","2021-03-02","United Kingdom",51314,895412
"105","2021-03-01","United Kingdom",28282,844098
"106","2021-02-28","United Kingdom",19684,815816
"107","2021-02-27","United Kingdom",27322,796132
"108","2021-02-26","United Kingdom",32773,768810
"109","2021-02-25","United Kingdom",35319,736037
"110","2021-02-24","United Kingdom",31613,700718
"111","2021-02-23","United Kingdom",26317,669105
"112","2021-02-22","United Kingdom",18463,642788
"113","2021-02-21","United Kingdom",9177,624325
"114","2021-02-20","United Kingdom",10263,615148
"115","2021-02-19","United Kingdom",15294,604885
"116","2021-02-18","United Kingdom",15867,589591
"117","2021-02-17","United Kingdom",15147,573724
"118","2021-02-16","United Kingdom",12412,558577
"119","2021-02-15","United Kingdom",6535,546165
"120","2021-02-14","United Kingdom",1915,539630
"121","2021-02-13","United Kingdom",2846,537715
"122","2021-02-12","United Kingdom",4775,534869
"123","2021-02-11","United Kingdom",5647,530094
"124","2021-02-10","United Kingdom",4894,524447
"125","2021-02-09","United Kingdom",3161,519553
"126","2021-02-08","United Kingdom",3811,516392
"127","2021-02-07","United Kingdom",862,512581
"128","2021-02-06","United Kingdom",1662,511719
"129","2021-02-05","United Kingdom",4064,510057
"130","2021-02-04","United Kingdom",4036,505993
"131","2021-02-03","United Kingdom",2995,501957
"132","2021-02-02","United Kingdom",2166,498962
"133","2021-02-01","United Kingdom",2587,496796
"134","2021-01-31","United Kingdom",3156,494209
"135","2021-01-30","United Kingdom",10621,491053
"136","2021-01-29","United Kingdom",2178,480432
"137","2021-01-28","United Kingdom",1769,478254
"138","2021-01-27","United Kingdom",2329,476485
"139","2021-01-26","United Kingdom",1710,474156
"140","2021-01-25","United Kingdom",1968,472446
"141","2021-01-24","United Kingdom",818,470478
"142","2021-01-23","United Kingdom",1043,469660
"143","2021-01-22","United Kingdom",1821,468617
"144","2021-01-21","United Kingdom",2760,466796
"145","2021-01-20","United Kingdom",3411,464036
"146","2021-01-19","United Kingdom",3759,460625
"147","2021-01-18","United Kingdom",4565,456866
"148","2021-01-17","United Kingdom",2239,452301
"149","2021-01-16","United Kingdom",2620,450062
"150","2021-01-15","United Kingdom",4208,447442
"151","2021-01-14","United Kingdom",5257,443234
"152","2021-01-13","United Kingdom",9745,437977
"153","2021-01-12","United Kingdom",16065,428232
"154","2021-01-11","United Kingdom",20768,412167
"155","2021-01-10","United Kingdom",NA,391399
